1418514372943519747,metofficeSEEng,2021-07-23 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/l7DenZnswR https://t.co/Zt7qLoM5Oi,Yellow,8,9
1418514362600284162,metofficeSEEng,2021-07-23 00:00:00+00:00,Yellow warning of wind affecting London &amp; South East England https://t.co/JMDE7NbJPJ https://t.co/1gTPzK9jYy,Yellow,5,4
1417789712530432004,metofficeSEEng,2021-07-21 00:00:00+00:00,Yellow warning of rain affecting London &amp; South East England https://t.co/d9bKGG3Hbx https://t.co/6O7MBdAdUH,Yellow,7,6
1417496285066764289,metofficeSEEng,2021-07-20 00:00:00+00:00,Amber warning of thunderstorm affecting London &amp; South East England https://t.co/DAKl5XlUle https://t.co/Z84H0WiEsn,Amber,18,18
1417480264511541261,metofficeSEEng,2021-07-20 00:00:00+00:00,Heavy showers and thunderstorms have started developing across parts of SE England #weatheraware https://t.co/4ddUxROzd9,,3,5
1417410718127718403,metofficeSEEng,2021-07-20 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/hsSrsPli16 https://t.co/M4zbe6I9OX,Yellow,23,17
1417139948130488325,metofficeSEEng,2021-07-19 00:00:00+00:00,Amber warning of extreme heat affecting London &amp; South East England https://t.co/27KNChaLry https://t.co/HT2t7FwGWZ,Amber,15,24
1417139938177404928,metofficeSEEng,2021-07-19 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/vCGMoVgXjd https://t.co/Kw4dFL5oNX,Yellow,17,9
1414149856487034886,metofficeSEEng,2021-07-11 00:00:00+00:00,Yellow warning of rain affecting London &amp; South East England https://t.co/cuzNBrunWN https://t.co/XqKVgzpztV,Yellow,12,11
1411979175817220096,metofficeSEEng,2021-07-05 00:00:00+00:00,Yellow warning of wind affecting London &amp; South East England https://t.co/Xd3lif5XKk https://t.co/7w1uTUpS7T,Yellow,5,2
1410888989318422532,metofficeSEEng,2021-07-02 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/xHyQmW7sEW https://t.co/aaseMUkofx,Yellow,8,8
1409085231332610054,metofficeSEEng,2021-06-27 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/XJoT9XGa39 https://t.co/VCDWODpzsk,Yellow,9,7
1408728378958516230,metofficeSEEng,2021-06-26 00:00:00+00:00,Yellow warning of rain affecting London &amp; South East England https://t.co/YPOGZfioJN https://t.co/qm9IcA3mTm,Yellow,5,5
1408510198344343553,metofficeSEEng,2021-06-25 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/ARwPCjzTMs https://t.co/JYS6RlLEvO,Yellow,4,2
1404726762009890816,metofficeSEEng,2021-06-15 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/y5bQXfqDNT https://t.co/B6OJj7UJC6,Yellow,15,5
1404484295134126080,metofficeSEEng,2021-06-14 00:00:00+00:00,Yellow warning of thunderstorm affecting London &amp; South East England https://t.co/mn7oHmXJwo https://t.co/h58hfDhJMe,Yellow,11,15
1394935120079978506,metofficeSEEng,2021-05-19 00:00:00+00:00,Yellow warning of wind affecting London &amp; South East England https://t.co/ozSydZNMAj https://t.co/yPb185VyBR,Yellow,5,5
1388415282717204480,metofficeSEEng,2021-05-01 00:00:00+00:00,Yellow warning of wind affecting London &amp; South East England https://t.co/fUxzbNTrEq https://t.co/VuSRVxQbge,Yellow,6,9
1368863825781428231,metofficeSEEng,2021-03-08 00:00:00+00:00,Yellow warning of wind affecting London &amp; South East England https://t.co/NZDjFCUs4D https://t.co/M5iwDcg5g3,Yellow,10,11
1366930590537158656,metofficeSEEng,2021-03-03 00:00:00+00:00,Yellow warning of fog affecting London &amp; South East England https://t.co/Z0KnhDNLu3 https://t.co/9hmyi7X1JS,Yellow,7,4
1357995082448736257,metofficeSEEng,2021-02-06 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/LBghFPgoP7 https://t.co/sjbjv0hSes",Yellow,11,18
1357641511676960768,metofficeSEEng,2021-02-05 00:00:00+00:00,Amber warning of snow affecting London &amp; South East England https://t.co/Y7dQmqzCeD https://t.co/5IBykz7eDn,Amber,17,28
1357641507805696001,metofficeSEEng,2021-02-05 00:00:00+00:00,Yellow warning of snow affecting London &amp; South East England https://t.co/CXZnwEMcJE https://t.co/IWRrhgQmd0,Yellow,8,12
1357286545523318788,metofficeSEEng,2021-02-04 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/1HdFqd5kHQ https://t.co/LEkHvdbK7h",Yellow,17,11
1357286538850168832,metofficeSEEng,2021-02-04 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/0oKuwPFoxh https://t.co/2UmgXQW3dE",Yellow,4,1
1355465035582070785,metofficeSEEng,2021-01-30 00:00:00+00:00,Yellow warning of ice affecting London &amp; South East England https://t.co/30yEjNWc7b https://t.co/WXi3l2Q4In,Yellow,6,1
1355104411807223810,metofficeSEEng,2021-01-29 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/9iYnspIbb2 https://t.co/WY6Emt2s5b",Yellow,6,0
1354746554070962184,metofficeSEEng,2021-01-28 00:00:00+00:00,Yellow warning of snow affecting London &amp; South East England https://t.co/YRXWBkquFm https://t.co/qMOsbcksfq,Yellow,4,7
1353671721497235458,metofficeSEEng,2021-01-25 00:00:00+00:00,Yellow warning of ice affecting London &amp; South East England https://t.co/hMBZniMfne https://t.co/wQP7YghCU0,Yellow,8,6
1353297884393824256,metofficeSEEng,2021-01-24 00:00:00+00:00,Yellow warning of ice affecting London &amp; South East England https://t.co/V2zgPaVwrL https://t.co/ppQjbpGDnO,Yellow,6,7
1352928327938371584,metofficeSEEng,2021-01-23 00:00:00+00:00,Yellow warning of snow affecting London &amp; South East England https://t.co/FavZtXYo8f https://t.co/d4U3cM6fmP,Yellow,18,14
1352928323807010816,metofficeSEEng,2021-01-23 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/CrP4NWVU5I https://t.co/Fztpar17TM",Yellow,8,7
1352573865210245120,metofficeSEEng,2021-01-22 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/RwPoZkDI0q https://t.co/uoHIccHtsr",Yellow,14,11
1352568829705031682,metofficeSEEng,2021-01-22 00:00:00+00:00,"Yellow warning of snow, ice affecting London &amp; South East England https://t.co/AKa13FZZD1 https://t.co/HHvXN5ip4F",Yellow,8,11
1351871105338806275,metofficeSEEng,2021-01-20 00:00:00+00:00,Yellow warning of wind affecting London &amp; South East England https://t.co/rkai3qXFrp https://t.co/KgXvACCj4r,Yellow,13,3
1350776773038927878,metofficeSEEng,2021-01-17 00:00:00+00:00,Yellow warning of rain affecting London &amp; South East England https://t.co/YHV1sxiRN1 https://t.co/dUitRyMBJC,Yellow,7,5
1350773626027483140,metofficeSEEng,2021-01-17 00:00:00+00:00,Yellow warning of rain affecting London &amp; South East England https://t.co/8VtzpyExWY https://t.co/WZsQE0LOcs,Yellow,4,1
1350025821113655296,metofficeSEEng,2021-01-15 00:00:00+00:00,Yellow warning of snow affecting London &amp; South East England https://t.co/bA6dMZkATn https://t.co/TW4koK8Dcz,Yellow,13,13
1349749249597009923,metofficeSEEng,2021-01-14 00:00:00+00:00,Yellow warning of ice affecting London &amp; South East England https://t.co/cx8UH6hKc8 https://t.co/NAeGRQPjYk,Yellow,8,2
1347487601503076352,metofficeSEEng,2021-01-08 00:00:00+00:00,Yellow Warning of Ice affecting England (London &amp; South East England) https://t.co/FsXZ0uDLtW https://t.co/bXBCdMZsyH,Yellow,6,4
1347131250746671107,metofficeSEEng,2021-01-07 00:00:00+00:00,Yellow Warning of Snow And Ice affecting England (London &amp; South East England) https://t.co/Fg5GeZj0EP https://t.co/NSHlIDQGEJ,Yellow,10,13
1346768108208357376,metofficeSEEng,2021-01-06 00:00:00+00:00,Yellow Warning of Ice affecting England (London &amp; South East England) https://t.co/5Q2jxADJKm https://t.co/XlMHG84Usu,Yellow,14,7
1345410032830091265,metofficeSEEng,2021-01-02 00:00:00+00:00,Yellow Warning of Snow And Ice affecting England (London &amp; South East England) https://t.co/7SUIzBsNZg https://t.co/xrlqXwtOGg,Yellow,4,10
1343870636364505089,metofficeSEEng,2020-12-29 00:00:00+00:00,Yellow Warning of Snow affecting England (London &amp; South East England) https://t.co/VS857JfC99 https://t.co/qQHXEiAFFX,Yellow,17,15
1343519578098266112,metofficeSEEng,2020-12-28 00:00:00+00:00,Yellow Warning of Snow And Ice affecting England (London &amp; South East England) https://t.co/v5lciP1oUB https://t.co/JwMFTKOgUD,Yellow,5,2
1343503599121272833,metofficeSEEng,2020-12-28 00:00:00+00:00,Yellow Warning of Snow And Ice affecting England (London &amp; South East England) https://t.co/uSbD3bLDMO https://t.co/AY0xH83XuS,Yellow,11,17
1343142590212759556,metofficeSEEng,2020-12-27 00:00:00+00:00,Yellow Warning of Snow And Ice affecting England (London &amp; South East England) https://t.co/UQNd0tJ3RU https://t.co/WoksMSvIcq,Yellow,18,15
